Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.9547508240238161,0.8733125649013499,0.11389490790899241,0.20150952438001676,0.7695970470483413
Random Forest,0.9553923914851438,0.8501937150236762,0.13373510292524377,0.23111579193727694,0.8163938989472022
XGBoost,0.8092270300178892,0.16572000258181113,0.6954225352112676,0.2676570237164451,0.8211075566626277
