Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
XGBoost (Tuned),0.9597815276094653,0.8521466473709599,0.23923347778981582,0.37358570371153643,0.8282271613559352
Random Forest (Tuned),0.9554704658322896,0.8134498480243161,0.14497562296858071,0.2460919540229885,0.8171768689144537
